=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.05.18 14:05:48 =~=~=~=~=~=~=~=~=~=~=~=
0.97497559,0.18823242,0.07763672,-0.08953857,0.99798584,-0.01342773,0.04742432,-0.04016113,2
0.97497559,0.18823242,0.07763672,-0.08953857,0.99798584,-0.01342773,0.04742432,-0.04016113,2
0.98962402,0.12133789,0.07232666,-0.02526855,0.99139404,-0.11047363,0.05615234,-0.04199219,2
0.99462891,0.06658936,0.07806396,0.01275635,0.97735596,-0.20910645,0.03137207,-0.00439453,2
0.99591064,0.03851318,0.07690430,0.02825928,0.96417236,-0.26269531,0.00573730,0.03594971,2
0.99633789,0.03247070,0.07464600,0.02661133,0.96783447,-0.24237061,0.01281738,0.06622314,2
0.99652100,0.05432129,0.06201172,0.01049805,0.98022461,-0.18188477,0.03613281,0.06896973,2
0.99633789,0.06719971,0.05310059,0.00341797,0.98364258,-0.15887451,0.06610107,0.05279541,2
0.99688721,0.06384277,0.04565430,-0.00073242,0.98052979,-0.17816162,0.07818604,0.02758789,2
0.99768066,0.05615234,0.03839111,-0.00091553,0.97552490,-0.19482422,0.10095215,0.01635742,2
0.99835205,0.04565430,0.03509521,0.00366211,0.97088623,-0.21228027,0.11065674,0.00500488,2
0.99841309,0.03796387,0.04052734,0.00769043,0.96923828,-0.21179199,0.12548828,0.00585938,2
0.99829102,0.02551270,0.05181885,0.01135254,0.96740723,-0.21362305,0.13598633,0.00677490,2
0.99792480,0.00048828,0.05999756,0.02313232,0.96539307,-0.17993164,0.17767334,0.06420898,2
0.99761963,-0.01361084,0.06207275,0.02697754,0.96545410,-0.12902832,0.20690918,0.09155273,2
0.99688721,-0.03424072,0.06158447,0.03613281,0.97235107,-0.09173584,0.18884277,0.10223389,2
0.99639893,-0.04107666,0.06286621,0.03918457,0.97705078,-0.06677246,0.15612793,0.12878418,2
0.99572754,-0.04791260,0.06744385,0.04040527,0.97338867,-0.04101562,0.14880371,0.16949463,2
0.90899658,-0.41619873,-0.01818848,0.01062012,0.97009277,0.00488281,0.14373779,0.19543457,2
0.91015625,-0.41381836,-0.01696777,0.01043701,0.96691895,0.01965332,0.13714600,0.21411133,2
0.91235352,-0.40887451,-0.01568604,0.01214600,0.96228027,0.06085205,0.14141846,0.22436523,2
0.91223145,-0.40924072,-0.00769043,0.01550293,0.96032715,0.07427979,0.16198730,0.21466064,2
